Time,mAU
18.48149333,-0.062525272
18.48634667,-0.062286854
18.4912,-0.062465668
18.49605333,-0.062942505
18.50090667,-0.063657761
18.50576,-0.064432621
18.51061333,-0.065147877
18.51546667,-0.065922737
18.52032,-0.066518784
18.52517333,-0.066995621
18.53002667,-0.067293644
18.53488,-0.067472458
18.53973333,-0.067472458
18.54458667,-0.067174435
18.54944,-0.066697598
18.55429333,-0.066101551
18.55914667,-0.065386295
18.564,-0.064730644
18.56885333,-0.064373016
18.57370667,-0.064253807
18.57856,-0.064313412
18.58341333,-0.06455183
18.58826667,-0.064909458
18.59312,-0.0654459
18.59797333,-0.066041946
18.60282667,-0.066697598
18.60768,-0.067353249
18.61253333,-0.068068504
18.61738667,-0.068664551
18.62224,-0.069081783
18.62709333,-0.069260597
18.63194667,-0.069141388
18.6368,-0.068724155
18.64165333,-0.068187714
18.64650667,-0.067591667
18.65136,-0.067174435
18.65621333,-0.066816807
18.66106667,-0.066816807
18.66592,-0.066936016
18.67077333,-0.066995621
18.67562667,-0.06711483
18.68048,-0.066876411
18.68533333,-0.066459179
18.69018667,-0.065803528
18.69504,-0.065028667
18.69989333,-0.064313412
18.70474667,-0.063717365
18.7096,-0.063300133
18.71445333,-0.063240528
18.71930667,-0.063240528
18.72416,-0.063419342
18.72901333,-0.063657761
18.73386667,-0.063896179
18.73872,-0.064194202
18.74357333,-0.064432621
18.74842667,-0.064492226
18.75328,-0.064611435
18.75813333,-0.06467104
18.76298667,-0.064611435
18.76784,-0.064373016
18.77269333,-0.064074993
18.77754667,-0.063717365
18.7824,-0.063419342
18.78725333,-0.063121319
18.79210667,-0.06300211
18.79696,-0.063061714
18.80181333,-0.063240528
18.80666667,-0.063478947
18.81152,-0.063717365
18.81637333,-0.064074993
18.82122667,-0.064432621
18.82608,-0.064730644
18.83093333,-0.064849854
18.83578667,-0.064909458
18.84064,-0.064849854
18.84549333,-0.064790249
18.85034667,-0.064611435
18.8552,-0.06455183
18.86005333,-0.064432621
18.86490667,-0.064492226
18.86976,-0.06467104
18.87461333,-0.064909458
18.87946667,-0.065147877
18.88432,-0.065624714
18.88917333,-0.065922737
18.89402667,-0.06622076
18.89888,-0.066399574
18.90373333,-0.066399574
18.90858667,-0.06633997
18.91344,-0.066161156
18.91829333,-0.066101551
18.92314667,-0.066101551
18.928,-0.066161156
18.93285333,-0.06622076
18.93770667,-0.066101551
